sentence,label
customer service ok cha,neutral
ma yo workshop bata worth it,positive
yo mechanic dai lastai thikkai cha,neutral
bike servicing ko barema thikai chha,neutral
ENGINE KAAM RECOMMEND GARDINA,negative
Engine condition cheap thiyo tara dukha bhayo,negative
payment system ma dhokha experience bhayo,negative
engine repair samanya cha,neutral
complaint handling pura hawa chaina,positive
ma mero experience bata use nagarnu,negative
payment system lastai thikkai cha,neutral
repair time careless thiyo tara excellent bhayo,positive
parts quality dherai ramro lagyo,positive
"YO PRICE LAJAWAB PANI CHA, DUKHA PANI CHA",neutral
ma yo technician bata top quality,positive
Yo mechanic ma worth it,positive
complaint handling ko barema so so,neutral
parts replacement thik cha,neutral
ma billing system bata kaam sakiyo,neutral
payment system ok cha,neutral
yo garage ramrari thiyo tara bekar bhayo,negative
bill amount lajawab thiena,negative
delivery time ekdam mahengo cha,negative
Payment system ma normal experience bhayo,neutral
PARTS QUALITY MA RUKSHA EXPERIENCE BHAYO,negative
"mero bike condition helpful pani cha, slow pani cha",neutral
parts quality pura bekar chaina,positive
tyre condition delay cha,negative
repair time bekar thiyo tara sahyog bhayo,positive
yo bill poor thiyo tara quick bhayo,positive
repair time service bhayo,neutral
engine repair ko barema highly recommend,positive
YO WORKSHOP MA THIK GARENA,negative
parts quality use garda bad feel bhayo,negative
"yo workshop excellent pani cha, ruksha pani cha",neutral
waiting time dherai thikai lagyo,neutral
malai phone response happy lagyo,positive
battery service kaam bhayo,neutral
yo servicing center ko barema duplicate parts,negative
car servicing excellent thiyo tara disappointed bhayo,negative
malai parts replacement ok lagyo,neutral
"yo mechanic dai excellent pani cha, luteko pani cha",neutral
"waiting time ma santusta cha, dhilo pani cha",neutral
Vehicle performance durable cha tara dhokha cha,negative
mero bike condition cheap chaina,negative
waiting time dherai khusi lagyo,positive
engine repair ghatiya thiena,positive
overall experience ma worth it,positive
yo spare parts ko barema kaam sakiyo,neutral
yo repair service ma bad experience bhayo,negative
waiting time pura sipalu chaina,negative
payment system awful chaina,positive
"yo place honest pani cha, samasya pani cha",neutral
phone response ma just okay,neutral
complaint handling ko quality dukha cha,negative
malai battery service ghatiya lagena,positive
Malai staff haru recommend lagyo,positive
tyre condition quality cha tara dhila cha,negative
tyre condition ma happy experience bhayo,positive
Yo mechanic shop ekdam thikkai cha,neutral
yo technician ko quality ok cha,neutral
service cost ekdam hawa cha,negative
malai yo technician thik lagyo,neutral
repair cost ekdam chor cha,negative
yo thau ma awesome experience bhayo,positive
parts replacement ekdam ramaro cha,positive
staff haru ekdam average cha,neutral
engine kaam dherai average lagyo,neutral
repair time ko barema ali thik,neutral
"yo workshop ma ramrari cha, risaune pani cha",neutral
vehicle performance ekdam sasto cha,positive
yo mechanic slow thiyo tara chitto bhayo,positive
"yo price dami pani cha, naraamro pani cha",neutral
ma billing system bata value for money,positive
mero bike condition ma chitta bujhyo,positive
yo technician use garda jhyau feel bhayo,negative
Repair time dherai affordable lagyo,positive
yo place ekdam thikkai cha,neutral
"yo repair service ma recommend cha, waste pani cha",neutral
delivery time dherai scam lagyo,negative
replacement parts bharpardo chaina,negative
yo garage ma raamro lagena,negative
"staff haru bhorosilo pani cha, mahengo pani cha",neutral
brake condition nikamma bhaena,positive
battery service sifaris thiena,negative
"MERO BIKE CONDITION MAJJA PANI CHA, DUKHA PANI CHA",neutral
repair cost best chaina,negative
"yo thau ma reliable cha, disappointed pani chha",neutral
yo thau ali thik,neutral
mero car condition dherai cheap lagyo,positive
yo mechanic dai santusta cha tara fake chha,negative
engine repair ekdam professional cha,positive
BIKE SERVICING ASAL THIYO TARA POOR BHAYO,negative
mero bike condition rubbish cha tara sundar cha,positive
yo price ekdam adhuro cha,negative
parts quality avoid garnu,negative
Malai worker haru jhutho lagena,positive
delivery time pura honest chaina,negative
malai yo workshop thikai lagyo,neutral
yo place faltu bhaena,positive
"repair cost genuine pani cha, bakbas pani cha",neutral
"yo mechanic shop ma sundar cha, fohor pani cha",neutral
yo servicing dherai affordable lagyo,positive
bike servicing ma thikkai experience bhayo,neutral
service time raamro cha,positive
bill amount thik cha,neutral
ma yo mechanic dai bata value for money,positive
staff haru ramaro cha tara worsened cha,negative
malai yo mechanic overpriced lagena,positive
car servicing lastai perfect cha,positive
ma mero bike condition bata smooth cha,positive
ma yo workshop bata kaam adhuro,negative
ma yo auto workshop bata value for money,positive
ma engine repair bata kaam bhayo,neutral
mero car condition dherai thik lagyo,neutral
engine repair lastai jhyau cha,negative
parts quality badhiya cha tara fraud cha,negative
complaint handling ko barema thik jasto,neutral
yo price ma sipalu experience bhayo,positive
support team khusi cha tara bakbas cha,negative
malai yo technician average lagyo,neutral
REPAIR TIME KO QUALITY KHUSI CHA,positive
repair time jhyau cha tara perfect cha,positive
malai yo auto workshop reliable lagena,negative
malai yo spare parts rubbish lagyo,negative
yo mechanic extra charge,negative
battery service careless cha tara recommend cha,positive
ma engine condition bata never again,negative
service time ekdam satisfied cha,positive
yo mechanic dai damage cha tara mitho cha,positive
engine repair pura jhanjhat chaina,positive
yo bill ramro bhayo,positive
ma repair time bata oil change,neutral
YO REPAIR SERVICE PERFECT CHA TARA BAKWAS CHA,negative
delivery time avoid garnu,negative
yo mechanic dai use garda angry feel bhayo,negative
waiting time ma ali thik,neutral
service time mitho thiyo tara naramo bhayo,negative
ma maintenance service bata man paryo,positive
malai engine kaam average lagyo,neutral
bike servicing lastai jhur cha,negative
Yo repair service lastai thikkai cha,neutral
service cost lajawab thiyo tara bekar bhayo,negative
vehicle performance ekdam affordable cha,positive
phone response ma man parena,negative
mero bike condition bigreko thiyo tara raamro bhayo,positive
phone response ko quality okay cha,neutral
yo servicing dherai risaune lagyo,negative
PARTS QUALITY MA ALI THIK,neutral
"phone response ma sahayogi cha, rubbish pani cha",neutral
"parts replacement ma professional cha, bakbas pani cha",neutral
PHONE RESPONSE USE GARDA IMANDAR FEEL BHAYO,positive
support team dherai safa lagyo,positive
malai mero experience dhilo lagena,positive
overall experience dherai normal lagyo,neutral
Complaint handling terrible thiyo tara dami bhayo,positive
malai brake system jhutho lagena,positive
worker haru use garda adhuro feel bhayo,negative
vehicle performance ma adhuro experience bhayo,negative
yo price frustrated cha tara bhorosa cha,positive
yo servicing center lastai sifaris chha,positive
service cost pura rude chaina,positive
parts replacement on time,positive
yo place pura nice chaina,negative
customer service pura happy chaina,negative
MALAI CAR SERVICING THIKAI LAGYO,neutral
Mero car condition ko quality thag cha,negative
yo mechanic lastai thikkai cha,neutral
yo mechanic dai pura sahayogi chaina,negative
vehicle performance ma kaam sakiyo,neutral
phone response ko quality thik cha,neutral
service cost gajjab chaina,negative
mero bike condition jhur thiena,positive
ma repair time bata so so,neutral
support team use garda normal feel bhayo,neutral
yo thau pathetic cha tara bharpardo cha,positive
brake system ko quality thik cha,neutral
engine condition ekdam jhur cha,negative
yo price ma ghatiya experience bhayo,negative
waiting time ko barema highly recommend,positive
"yo technician quality pani cha, bigriyo pani cha",neutral
Ma car servicing bata service bhayo,neutral
yo bill ko barema highly recommend,positive
complaint handling ko barema service bhayo,neutral
phone response honest thiena,negative
billing system dherai normal lagyo,neutral
yo price dherai normal lagyo,neutral
car servicing ko barema recommend gardina,negative
support team ekdam ok cha,neutral
staff haru dherai frustrated lagyo,negative
"parts replacement gajjab pani cha, waste pani cha",neutral
phone response majja bhaena,negative
yo technician ko barema chitta bujhyo,positive
Bill amount gajjab thiena,negative
tyre condition dherai useless lagyo,negative
malai mero car condition durable lagena,negative
yo bill use garda thikkai feel bhayo,neutral
ma billing system bata on time,positive
overall experience worst chaina,positive
Support team ko quality average cha,neutral
bill amount ko quality late cha,negative
complaint handling use garda satisfied feel bhayo,positive
vehicle performance pura overpriced chaina,positive
Vehicle performance ko quality samanya cha,neutral
waiting time ekdam thikkai cha,neutral
YO SERVICING EXCELLENT CHA,positive
malai yo charge normal lagyo,neutral
ma customer service bata top quality,positive
yo mechanic pura ignored chaina,positive
overall experience use garda happy feel bhayo,positive
ma yo garage bata same issue,negative
bike servicing ma chitta bujhena,negative
"yo thau ma professional cha, ignored pani cha",neutral
yo bill babbal chaina,negative
parts quality ma dhanyabad experience bhayo,positive
Malai billing system durable lagena,negative
complaint handling ma naraamro experience bhayo,negative
"bike servicing ma asal cha, rude pani cha",neutral
"BRAKE SYSTEM HONEST PANI CHA, DHOKHA PANI CHA",neutral
car servicing lajawab bhaena,negative
malai overall experience dami lagyo,positive
malai car servicing okay lagyo,neutral
MALAI YO SERVICING OVERPRICED LAGYO,negative
Staff haru unprofessional cha tara prasanna cha,positive
DELIVERY TIME MA CHITTA BUJHYO,positive
parts replacement ko quality professional cha,positive
malai support team quality lagyo,positive
yo servicing center expensive cha tara quality cha,positive
staff haru smooth thiyo tara raddi bhayo,negative
engine repair babbal thiyo tara naramo bhayo,negative
support team ko quality thikkai cha,neutral
worker haru pura problem chaina,positive
engine condition terrible thiyo tara mitho bhayo,positive
yo spare parts ko quality majja cha,positive
yo mechanic shop ko quality samanya cha,neutral
malai yo servicing center affordable lagena,negative
mero car condition pura unprofessional chaina,positive
complaint handling ma avoid garnu,negative
repair cost thik cha,neutral
delivery time lajawab bhaena,negative
ma yo spare parts bata ramro bhayena,negative
yo mechanic dai lastai khusi cha,positive
yo mechanic dai ramro lagyo,positive
Ma engine kaam bata so so,neutral
"yo thau dami pani cha, expensive pani cha",neutral
ma yo mechanic shop bata ramro lagyo,positive
parts replacement ko barema not recommended,negative
Customer service thikai cha,neutral
engine kaam ko quality perfect cha,positive
bike servicing sahayogi cha tara slow cha,negative
engine repair ko barema thikkai cha,neutral
engine kaam kaam bhayo,neutral
YO SPARE PARTS REASONABLE CHA TARA JHYAU CHA,negative
"brake system ma best cha, rubbish pani cha",neutral
brake condition ekdam thikkai cha,neutral
brake condition pathetic cha tara sifaris cha,positive
complaint handling ma ramro bhayo,positive
yo price ma on time,positive
brake system dherai nice lagyo,positive
ma yo bill bata ramro bhayo,positive
staff haru badhiya bhaena,negative
yo mechanic shop ko barema hidden charge,negative
yo place dherai scam lagyo,negative
car servicing bekar cha,negative
"yo thau dhanyabad pani cha, frustrated pani cha",neutral
yo repair service ma thikkai experience bhayo,neutral
malai yo charge duplicate lagyo,negative
Maintenance service ekdam thik cha,neutral
yo servicing center pura satisfied chaina,negative
yo thau highly recommend,positive
mero car condition ma thikkai experience bhayo,neutral
yo place use garda average feel bhayo,neutral
waiting time ekdam thag cha,negative
worker haru ma bigriyo experience bhayo,negative
yo bill pura best chaina,negative
"yo bill ma sifaris cha, adhuro pani cha",neutral
vehicle performance ok cha,neutral
vehicle performance avoid garnu,negative
"yo spare parts prasanna pani cha, ruksha pani cha",neutral
delivery time jhanjhat cha tara safa cha,positive
YO PRICE SAHI THIYO TARA DHOKHA BHAYO,negative
yo workshop mitho thiena,negative
malai replacement parts majja lagena,negative
malai tyre condition bakwas lagena,positive
malai yo charge happy lagena,negative
phone response genuine thiyo tara overpriced bhayo,negative
"bike servicing raamro pani cha, luteko pani cha",neutral
yo mechanic dai hawa thiyo tara perfect bhayo,positive
bill amount ko barema oil change,neutral
delivery time prasanna chaina,negative
yo repair service ekdam normal cha,neutral
engine repair lastai samanya cha,neutral
yo mechanic dai thik chha,neutral
yo mechanic dai worst cha tara raamro cha,positive
mero car condition low quality,negative
mero car condition ekdam thikai chha,neutral
MALAI PARTS REPLACEMENT MITHO LAGENA,negative
repair time raddi thiyo tara mast bhayo,positive
"yo repair service sahi pani cha, hawa pani cha",neutral
yo price pathetic chaina,positive
car servicing quality cha,positive
brake condition ma sahyog experience bhayo,positive
ma tyre condition bata no response,negative
mero experience ko barema just okay,neutral
yo thau dherai okay lagyo,neutral
service time extra charge,negative
tyre condition use garda thikkai feel bhayo,neutral
maintenance service pura jabardast chaina,negative
support team ramaro thiena,negative
BRAKE SYSTEM GENUINE BHAENA,negative
MAINTENANCE SERVICE MA EXCELLENT EXPERIENCE BHAYO,positive
mero car condition ekdam waste cha,negative
YO REPAIR SERVICE PURA KHERA CHAINA,positive
mero car condition gajjab cha tara dhokha cha,negative
malai yo mechanic shop poor lagena,positive
staff haru perfect bhaena,negative
phone response ko quality slow cha,negative
billing system ko quality thagi cha,negative
yo thau ko barema waste of money,negative
parts replacement sipalu bhaena,negative
yo mechanic ekdam quality cha,positive
"replacement parts recommend pani cha, dukha pani cha",neutral
delivery time lastai thag cha,negative
yo spare parts kharab cha tara sahayogi cha,positive
"yo mechanic ma honest cha, awful pani cha",neutral
malai yo repair service dhanyabad lagyo,positive
yo place bakwas thiyo tara sahi bhayo,positive
parts replacement reliable bhaena,negative
SERVICE TIME LASTAI AVERAGE CHA,neutral
malai service cost affordable lagyo,positive
yo workshop samasya cha,negative
yo workshop lastai khera cha,negative
service cost just okay,neutral
yo place sundar thiena,negative
"mero car condition ramrari pani cha, careless pani chha",neutral
YO WORKSHOP MA SASTO EXPERIENCE BHAYO,positive
Yo servicing center ekdam samanya cha,neutral
malai yo technician sifaris lagyo,positive
service time ko barema value for money,positive
service cost thikai cha,neutral
waiting time ekdam bakbas cha,negative
phone response phutyo chha,negative
yo mechanic ko quality average cha,neutral
yo garage ko quality perfect cha,positive
yo auto workshop use garda thikkai feel bhayo,neutral
"worker haru ma sifaris cha, risaune pani chha",neutral
YO WORKSHOP EKDAM NORMAL CHA,neutral
ma complaint handling bata recommend gardina,negative
payment system overpriced chha,negative
yo spare parts sundar thiena,negative
YO MECHANIC PURA DURABLE CHAINA,negative
bike servicing ko barema never again,negative
overall experience ekdam worsened cha,negative
overall experience ekdam ramaro cha,positive
YO GARAGE KO BAREMA RECOMMEND GARDINA,negative
"replacement parts perfect pani cha, poor pani cha",neutral
ma support team bata fake parts,negative
malai parts replacement babbal lagena,negative
YO TECHNICIAN MA SASTO EXPERIENCE BHAYO,positive
engine condition use garda okay feel bhayo,neutral
yo workshop ma cheap experience bhayo,positive
yo thau ramaro thiyo tara unprofessional bhayo,negative
support team dherai normal lagyo,neutral
bike servicing never again,negative
engine kaam ekdam happy cha,positive
BIKE SERVICING DAMI CHA TARA FRUSTRATED CHA,negative
PAYMENT SYSTEM DHERAI BEST LAGYO,positive
engine condition ma fraud experience bhayo,negative
car servicing santusta bhaena,negative
YO MECHANIC DAI JUST OKAY,neutral
service time use garda thikai feel bhayo,neutral
billing system so so,neutral
yo charge ma oil change,neutral
"yo bill ma sipalu cha, damage pani cha",neutral
brake condition lastai ok cha,neutral
yo garage ko quality disappointed cha,negative
service time ma just okay,neutral
staff haru ma thik bhayo,positive
yo garage use garda thik feel bhayo,neutral
yo price lastai perfect cha,positive
ma bike servicing bata kaam sakiyo,neutral
payment system ma smooth cha,positive
complaint handling dherai ok lagyo,neutral
malai parts quality thikkai lagyo,neutral
brake system ko barema highly recommend,positive
phone response ko barema just okay,neutral
"maintenance service ma majja cha, galti pani chha",neutral
Malai brake condition ramro lagyo,positive
STAFF HARU USELESS CHA,negative
waiting time dherai ramro lagyo,positive
mero car condition pura excellent chaina,negative
yo garage okay cha,neutral
parts replacement ko barema oil change,neutral
ma overall experience bata thik bhayo,positive
"yo garage ramrari pani cha, hawa pani cha",neutral
malai yo mechanic ramro lagyo,positive
staff haru ko quality thikai cha,neutral
"bill amount ma prasanna cha, ruksha pani cha",neutral
yo mechanic dai ko barema kaam sakiyo,neutral
Support team ma extra charge,negative
"service time affordable pani cha, dukha pani cha",neutral
service time ekdam thikai cha,neutral
"yo technician ma khusi cha, nikamma pani cha",neutral
waiting time raamro cha tara rubbish cha,negative
yo bill rude thiyo tara badhiya bhayo,positive
Engine condition ma kharab experience bhayo,negative
yo bill ma friendly experience bhayo,positive
ma maintenance service bata thikai cha,neutral
Engine condition fohor thiyo tara cheap bhayo,positive
engine kaam dherai terrible lagyo,negative
ma complaint handling bata kaam sakiyo,neutral
overall experience dherai thikai lagyo,neutral
car servicing kaam sakiyo,neutral
yo garage ko quality bekar cha,negative
"brake condition ma badhiya cha, disappointed pani cha",neutral
malai worker haru fohor lagena,positive
replacement parts annoyed thiyo tara bhorosilo bhayo,positive
support team sahyog chaina,negative
yo technician babbal thiena,negative
Engine repair value for money,positive
malai waiting time thagi lagyo,negative
YO CHARGE KO QUALITY ADHURO CHA,negative
"mero experience ma ramrari cha, faltu pani chha",neutral
malai engine repair friendly lagena,negative
"mero experience ma good cha, terrible pani cha",neutral
vehicle performance ko quality awful cha,negative
malai staff haru majja lagyo,positive
overall experience ko barema damage bhayo,negative
mero experience dherai thikkai lagyo,neutral
"engine kaam reliable pani cha, adhuro pani cha",neutral
MALAI YO MECHANIC DAI DISAPPOINTED LAGENA,positive
yo bill lastai ok cha,neutral
maintenance service man parena,negative
mero experience samanya cha,neutral
mero experience ko barema worth it,positive
staff haru worth it,positive
yo servicing dherai safa lagyo,positive
complaint handling ma sifaris experience bhayo,positive
delivery time thag cha tara bharpardo cha,positive
"yo thau ma babbal cha, galti pani cha",neutral
malai yo charge luteko lagena,positive
yo thau dherai ok lagyo,neutral
yo charge ko quality average cha,neutral
staff haru use garda okay feel bhayo,neutral
customer service ko quality average cha,neutral
replacement parts ma chitta bujhena,negative
Service time phutyo chaina,positive
mero car condition lastai pathetic chha,negative
"mero car condition bharpardo pani cha, ruksha pani cha",neutral
yo auto workshop delay cha,negative
overall experience risaune cha tara best cha,positive
yo repair service ko quality dhanyabad cha,positive
yo spare parts ma top quality,positive
Battery service waste cha,negative
repair time kaam sakiyo,neutral
YO REPAIR SERVICE PURA SAHAYOGI CHAINA,negative
yo bill lastai normal cha,neutral
"bill amount best pani cha, frustrated pani cha",neutral
engine condition ma useless experience bhayo,negative
yo servicing center ko quality ghatiya chha,negative
yo garage honest thiena,negative
overall experience thikai cha,neutral
ma tyre condition bata thik bhayo,positive
"Waiting time ma santusta cha, dukha pani cha",neutral
YO PRICE KO BAREMA THIK BHAYO,positive
delivery time ma thikai cha,neutral
malai parts quality normal lagyo,neutral
service cost ko quality thikai cha,neutral
brake condition ko barema fake parts,negative
parts replacement reliable cha tara pathetic cha,negative
ma waiting time bata kaam bhayo,neutral
yo bill use garda ok feel bhayo,neutral
BILLING SYSTEM DHILO CHHA TARA RAMRO CHA,positive
waiting time lastai kharab chha,negative
customer service smooth cha,positive
billing system ma so so,neutral
repair time ko quality friendly cha,positive
battery service sundar thiyo tara raddi bhayo,negative
maintenance service ko quality helpful cha,positive
repair cost dherai samanya lagyo,neutral
service time chitto thiena,negative
maintenance service thikai cha,neutral
complaint handling duplicate parts,negative
repair time ma thik experience bhayo,neutral
phone response ekdam thikkai cha,neutral
parts quality dherai luteko lagyo,negative
Yo bill lastai reliable cha,positive
billing system thikai cha,neutral
ma support team bata thikai cha,neutral
support team use garda bhalo feel bhayo,positive
malai parts quality genuine lagena,negative
Customer service ko barema use nagarnu,negative
yo mechanic shop khera thiyo tara great bhayo,positive
ma engine kaam bata ali thik,neutral
malai mero bike condition jhutho lagena,positive
PARTS QUALITY MAHENGO THIYO TARA PROFESSIONAL BHAYO,positive
customer service naraamro cha tara badhiya cha,positive
malai brake condition normal lagyo,neutral
STAFF HARU KO BAREMA USED PARTS,negative
payment system expensive thiyo tara good bhayo,positive
SERVICE TIME RECOMMEND GARDINA,negative
ENGINE REPAIR KO QUALITY DURABLE CHA,positive
yo bill ma thikai experience bhayo,neutral
parts quality pura thag chaina,positive
parts replacement lastai fohor cha,negative
delivery time ko barema ramro bhayena,negative
engine kaam ma bad experience bhayo,negative
Support team ko quality ramrari cha,positive
engine kaam use garda affordable feel bhayo,positive
engine repair sipalu chaina,negative
mero bike condition pura sipalu chaina,negative
customer service ma badhiya experience bhayo,positive
billing system use garda nice feel bhayo,positive
REPAIR TIME EKDAM SIPALU CHA,positive
yo spare parts ekdam dhokha cha,negative
yo bill ma ok experience bhayo,neutral
car servicing dherai thik lagyo,neutral
yo price luteko thiyo tara ramro bhayo,positive
yo auto workshop ma value for money,positive
yo price okay cha,neutral
ma engine repair bata chitta bujhyo,positive
MA YO PLACE BATA KAAM SAKIYO,neutral
"yo place ma sahi cha, raddi pani cha",neutral
"yo bill dami pani cha, bakwas pani cha",neutral
yo mechanic ekdam thikkai cha,neutral
yo garage ma ruksha experience bhayo,negative
"car servicing ma safa cha, scam pani chha",neutral
yo mechanic dherai normal lagyo,neutral
customer service good cha tara rubbish cha,negative
malai yo place thikkai lagyo,neutral
yo thau duplicate thiyo tara mast bhayo,positive
phone response angry cha tara jabardast cha,positive
vehicle performance reasonable bhaena,negative
malai yo spare parts jabardast lagena,negative
"bike servicing awesome pani cha, fake pani cha",neutral
MERO BIKE CONDITION USE GARDA DHANYABAD FEEL BHAYO,positive
payment system ekdam recommend cha,positive
billing system ma chitta bujhena,negative
yo spare parts ekdam sasto chha,positive
yo garage ramro lagyo,positive
malai yo charge bakbas lagyo,negative
malai bike servicing thikkai lagyo,neutral
billing system unprofessional bhaena,positive
delivery time slow cha tara sundar cha,positive
"yo repair service ma khusi cha, jhyau pani cha",neutral
mero bike condition ma samanya experience bhayo,neutral
brake condition ma durable experience bhayo,positive
delivery time gajjab thiyo tara dhokha bhayo,negative
Customer service ko barema kaam bhayo,neutral
waiting time sifaris chaina,negative
yo mechanic faltu cha,negative
"brake system satisfied pani cha, adhuro pani cha",neutral
yo servicing ko quality sifaris chha,positive
yo mechanic satisfied chaina,negative
malai battery service smooth lagyo,positive
car servicing chitta bujhyo,positive
waiting time dherai genuine lagyo,positive
parts replacement ma service bhayo,neutral
service time thikai chha,neutral
mero car condition lajawab bhaena,negative
billing system use garda ok feel bhayo,neutral
"Yo servicing quick pani cha, adhuro pani cha",neutral
customer service use garda phutyo feel bhayo,negative
ma overall experience bata thik jasto,neutral
support team ma okay experience bhayo,neutral
yo price ma majja experience bhayo,positive
payment system dherai normal lagyo,neutral
ENGINE KAAM CHEAP CHA,positive
customer service best cha tara scam cha,negative
malai yo mechanic shop ok lagyo,neutral
tyre condition dherai great lagyo,positive
mero car condition ekdam raamro cha,positive
engine repair ko barema used parts,negative
MA SUPPORT TEAM BATA KAAM SAKIYO,neutral
yo charge late chha,negative
yo servicing center worth it,positive
overall experience durable chaina,negative
yo mechanic dai pura bharpardo chaina,negative
engine repair ma bhalo experience bhayo,positive
tyre condition thagi thiena,positive
mero bike condition thik cha,neutral
yo charge average cha,neutral
ma engine condition bata kaam adhuro,negative
malai yo auto workshop useless lagyo,negative
"yo technician ma safa cha, fake pani cha",neutral
mero car condition use garda samanya feel bhayo,neutral
yo mechanic shop mahengo cha,negative
yo garage ko barema waste of money,negative
yo workshop lastai jabardast cha,positive
yo thau use garda dami feel bhayo,positive
overall experience ekdam bhorosa cha,positive
brake system dherai affordable lagyo,positive
malai yo place best lagyo,positive
service time ko barema engine check,neutral
mero bike condition mast cha,positive
Maintenance service lastai imandar cha,positive
yo spare parts ma thikkai experience bhayo,neutral
waiting time imandar cha tara hawa cha,negative
yo mechanic lastai frustrated cha,negative
yo mechanic ma sahi experience bhayo,positive
staff haru waste of money,negative
yo garage gajjab bhaena,negative
car servicing dhila cha tara quick cha,positive
PHONE RESPONSE RAMRARI CHA TARA THAGI CHA,negative
mero experience use garda ok feel bhayo,neutral
yo mechanic dherai fast lagyo,positive
malai vehicle performance dhokha lagena,positive
malai billing system samasya lagena,positive
yo spare parts ma frustrated experience bhayo,negative
tyre condition bharpardo cha,positive
brake condition average cha,neutral
service cost lastai professional cha,positive
yo repair service lastai faltu cha,negative
mero car condition ko barema engine check,neutral
yo price lastai duplicate cha,negative
staff haru lastai ramro chha,positive
Brake condition use garda prasanna feel bhayo,positive
engine kaam use garda fake feel bhayo,negative
staff haru ko quality average cha,neutral
engine condition dukha thiena,positive
brake system pura nikamma chaina,positive
YO PRICE LASTAI WORST CHA,negative
malai yo spare parts khera lagena,positive
staff haru badhiya thiyo tara jhutho bhayo,negative
mero car condition use garda careless feel bhayo,negative
Malai battery service average lagyo,neutral
malai overall experience thik lagyo,neutral
SUPPORT TEAM PHUTYO THIENA,positive
billing system ko barema extra charge,negative
ma yo mechanic dai bata recommend gardina,negative
waiting time reliable chaina,negative
TYRE CONDITION SLOW CHAINA,positive
yo mechanic dai ekdam bhorosilo cha,positive
service cost engine check,neutral
yo place khera cha tara bhorosa chha,positive
support team use garda careless feel bhayo,negative
BILL AMOUNT KO BAREMA KAAM BHAYO,neutral
"phone response ma cheap cha, scam pani cha",neutral
engine repair ma original parts,positive
engine condition ko barema ramro bhayena,negative
"REPLACEMENT PARTS SANTUSTA PANI CHA, ANNOYED PANI CHA",neutral
complaint handling ma no response,negative
payment system fohor cha,negative
yo garage engine check,neutral
service cost mitho thiena,negative
malai tyre condition awesome lagyo,positive
complaint handling ko barema fake parts,negative
yo place ekdam okay cha,neutral
CAR SERVICING MAHENGO THIENA,positive
REPLACEMENT PARTS DHERAI OK LAGYO,neutral
malai payment system samanya lagyo,neutral
"engine kaam prasanna pani cha, phutyo pani chha",neutral
maintenance service lastai samanya cha,neutral
vehicle performance dherai thikkai lagyo,neutral
yo mechanic dai ko quality average chha,neutral
malai yo repair service bhalo lagena,negative
overall experience ko quality sifaris cha,positive
car servicing ma damage bhayo,negative
yo place thik cha,neutral
malai mero experience sahi lagena,negative
brake condition bhalo thiyo tara terrible bhayo,negative
Battery service ma samanya experience bhayo,neutral
yo technician pura asal chaina,negative
malai vehicle performance bakbas lagyo,negative
yo technician ko barema service bhayo,neutral
malai yo technician happy lagena,negative
customer service ko barema smooth cha,positive
yo servicing center bhalo chaina,negative
engine repair dherai normal lagyo,neutral
bill amount ma just okay,neutral
PHONE RESPONSE PURA SAHYOG CHAINA,negative
engine kaam ma careless experience bhayo,negative
parts replacement ma professional experience bhayo,positive
mero car condition ma thikai experience bhayo,neutral
service cost man parena,negative
malai yo mechanic nice lagena,negative
parts replacement ma thikai cha,neutral
yo mechanic lastai bhalo cha,positive
engine condition worsened cha tara sahi cha,positive
worker haru jhanjhat bhaena,positive
Ma delivery time bata ali thik,neutral
YO BILL KO BAREMA ORIGINAL PARTS,positive
"repair time ma prasanna cha, luteko pani cha",neutral
yo spare parts friendly chaina,negative
MERO CAR CONDITION DHERAI REASONABLE LAGYO,positive
Waiting time dherai cheat lagyo,negative
YO MECHANIC DAI KO BAREMA NOT RECOMMENDED,negative
service cost ko quality dami cha,positive
Yo technician quick bhaena,negative
yo servicing center ma chitta bujhena,negative
tyre condition santusta thiyo tara faltu bhayo,negative
yo thau ko barema on time,positive
"waiting time happy pani cha, bakbas pani cha",neutral
repair cost use garda raamro feel bhayo,positive
replacement parts pura friendly chaina,negative
yo servicing center service bhayo,neutral
brake condition lastai careless cha,negative
malai engine repair samanya lagyo,neutral
malai yo spare parts badhiya lagyo,positive
mero car condition sundar thiena,negative
yo mechanic not recommended,negative
yo spare parts ekdam okay cha,neutral
delivery time ramaro thiena,negative
support team reliable cha,positive
bill amount ma oil change,neutral
mero car condition lastai thikai cha,neutral
yo place ma highly recommend,positive
repair time use garda great feel bhayo,positive
yo mechanic dai ma thikai cha,neutral
mero car condition use garda worst feel bhayo,negative
yo servicing luteko chaina,positive
"yo servicing center majja pani cha, dhokha pani cha",neutral
customer service satisfied thiyo tara fohor bhayo,negative
staff haru ko barema use nagarnu,negative
"yo bill ma reasonable cha, naraamro pani cha",neutral
"SERVICE TIME AWESOME PANI CHA, JHUR PANI CHA",neutral
battery service ko quality normal cha,neutral
support team lastai faltu cha,negative
yo garage ekdam perfect cha,positive
support team pura fohor chaina,positive
ma mero car condition bata no response,negative
waiting time ko quality normal cha,neutral
yo servicing center use garda normal feel bhayo,neutral
complaint handling ko barema just okay,neutral
mero experience ko quality thikai cha,neutral
complaint handling fraud thiyo tara chitto bhayo,positive
yo technician ekdam thagi cha,negative
worker haru ma kaam bhayo,neutral
maintenance service ma satisfied chaina,negative
yo garage ramrari bhaena,negative
